index,ans_entity_val
260,135.0 pound
261,135.0 pound
262,38.5 centimetre
263,39.0 inch
264,39.0 inch
265,2.5 cm
266,2.55 inch
267,15.3 inch
268,20.0 centimetre
269,18.0 centimetre
270,inch
271,2.75 inch
272,2.75 inch
273,
274,6.4 inch
275,1.5 inch
276,
277,6.72 watt
278,6.72 volt
279,5.0 inch
280,5.0 inch
281,1090.0 kilogram
282,5.8 centimetre
283,5.8 inch
284,40.0 gram
285,16.0 centimetre
286,
287,HY2(KO3)-15
288,"numerical_value 3.5"""
289,8.0 inch
290,
291,39.0 centimetre
292,
293,965.0 gram
294,4.5 centimetre
295,4.5 inch
296,37.0 inch
297,63.00 inch
298,6 in.
299,Cannot determine unit
300,
301,
302,
303,
304,9.5 centimetre
305,
306,500.0 gram
307,21.8 centimetre
308,45.0 pound
309,0.9 inch
310,0.9 inch
311,180.0 cm
312,3.75 pound
313,6.0 ounce
314,21.0 cm
315,21.0 cm
316,21.0 cm
317,numerical_value unit
318,6.0 centimetre
319,1.7 kilogram
320,7.5 centimetre
321,7.5 centimetre
322,10.5 inch
323,M
324,
325,11.5 inch
326,11.5 inch
327,5.0 cm
328,7.0 centimetre
329,7.0 centimetre
330,6.0 ounce
331,
332,40.0 cm
333,40.0 cm
334,45.0 volt
335,45.0 watt
336,1.35 fluid ounce
337,0.7 inch
338,0.7 inch
339,
340,
341,1.5282 ounce
342,25.0 centimetre
343,25.0 centimetre
344,25.0 centimeter
345,75.0 centimetre
346,17.0 centimetre
347,
348,17.0 centimetre
349,EXOS
350,2.8 inch
351,2.8 inch
352,10.0 centimetre
353,10.0 centimetre
354,
355,
356,2.95 inch
357,5.0 inch
358,5.0 inch
359,8.0 ounce
360,0.59 inch
361,0.78 inch
362,
363,800.0 pound
364,","
365,5.0 cm
366,  **5 cm**  5.0
367,"35 cm (14"") 5"
368,
369,4.0 centimetre
370,190.0 cm
371,190.0 cm
372,
373,7.0 inch
374,7.0 inch
375,30.0 centimetre
376,3.0 kilogram
377,
378,13.7 volt
379,4.7 inch
380,4.70 inch
381,4.7 inch
382,60.0 centimetre
383,200.0 ounce
384,
385,
386,14.0 centimetre
387,14.0 inch
388,
389,
390,355.0 millilitre
391,40.0 centimetre
392,40.0 centimetre
393,11.5 centimetre
394,11.5 centimetre
395,11.5 cm
396,12.0 pound
397,
398,
399,
400,
401,
402,8.0 ounce
403,100.0 centimetre
404,7.9 22.2
405,7.9 centimetre
406,
407,
408,
409,13.5 centimetre
410,13.5 centimetre
411,13.5 centimetre
412,146.0 centimeter
413,171.0 millimeter
414,
415,5000.0 kilogram
416,
417,
418,2.2 inch
419,8.3 inch
420,473.0 millilitre
421,
422,
423,27.0 inch
424,27.0 cm
425,27.0 inch
426,250.0 gram
427,10.0 centimetre
428,
429,1.3 inch
430,2 3
431,63.0 centimetre
432,10.0 centimetre
433,10.0 inch
434,3.90 centimetre
435,3.9 inch
436,
437,
438,17.0 centimetre
439,144.0 millimeter
440,numerical_value unit
441,
442,220.0 volt
443,
444,
445,OFF
446,OFF
447,20.0 gram
448,20.0 gram
449,42.0 centimetre
450,
451,
452,88.0 centimetre
453,
454,
455,
456,
457,6.29 inch
458,6.3 cm
459,175.0 cm
460,
461,60.0 centimeter
462,
463,60.0 cm
464,
465,
466,25.0 kilogram
467,
468,
469,9.0 inch
470,9.0 inch
471,
472,5967.0 watt
473,not_available unit
474,60.0 cm
475,
476,13.0 inch
477,13.0 inch
478,
479,132.0 pound
480,
481,120.0 millilitre
482,24.0 cm
483,30.0 centimetre
484,30.0 centimetre
485,
486,30.0 centimetre
487,5.9 inch
488,5.9 inch
489,5.9 inch
490,80.0 centimetre
491,80.0 centimetre
492,50.0 piece
493,50.0 piece
494,50.0 piece
495,
496,6.37 inch
497,6.37 inch
498,
499,8.7 cm
500,109.5 centimetre
501,5.0 volt
502,12.0 inch
503,
504,
505,
506,35.0 centimetre
507,35.0 centimetre
508,7.0 centimetre
509,7.0 centimetre
510,76.0 cm
511,60.0 centimetre
512,171.0 newton
513,3.8 centimetre
514,68.0 grams
515,75.0 kilogram
516,
517,
518,mm 2
519,
520,39.3 inch
521,39.3 inch
522,
523,24.0 centimetre
524,3.50 inch
525,3.50 inch
526,3.50 inch
527,7.07 inch
528,5.1 cm
529,5.1 cm
530,5.0 centimetre
531,5.0 centimetre
532,150.0 gram
533,
534,180.0 centimetre
535,500.0 gram
536,40.0 centimetre
537,50.8 centimetre
538,25.0 milligram
539,594.0 millimetre
540,
541,
542,3.50 inch
543,3.5 inch
544,
545,60.96 centimetre
546,60.96 centimetre
547,60.96 centimetre
548,12.0 volt
549,190.0 cm
550,
551,
552,5.9 inch
553,
554,
555,2.1 inch
556,
557,6.0 inch
558,2.3 inch
559,25.0 kilogram
560,
561,1.5 volt
562,
563,15.72 inch
564,
565,34IN310Z2%N
566,3.0 kilogram
567,
568,
569,12.0 centimetre
570,12.0 centimetre
571,163.0 inch
572,
573,
574,
575,88.0 oz
576,3.3 kilogram
577,7.8 inch
578,7.8 inch
579,60.0 centimeter
580,numerical_value unit
581,15.75 inch
582,15.75 inch
583,350.0 volt
584,350.0 watt
585,
586,100.0 gram
587,200.0 kilogram
588,10.0 kilogram
589,
590,
591,2.0 pound
592,26.0 cm
593,
594,170.0 cm
595,5.9 inch
596,5.9 inch
597,
598,
599,
600,
601,
602,250.0 millilitre
603,20.0 cm
604,0.9 inch
605,0.9 inch
606,0.9 inch
607,80.0 watt
608,12.0 volt
609,17.0 centimetre
610,171.0 cm
611,42.01 centimetre
612,16.0 inch
613,50.0 inches
614,
615,
616,
617,2.65 pound
618,11.0 inch
619,11.0 inch
620,0.37 pound
621,25.0 watt
622,7.8 inch
623,7.80 inch
624,8.4 inch
625,8.4 inch
626,
627,80.0 centimetre
628,80.0 cm
629,
630,
631,90.0 centimetre
632,5.0 inch
633,5.0 inch
634,7.0 centimetre
635,7.0 centimetre
636,30.0 centimetre
637,16.5 inch
638,2I2N 24.0
639,71.0 inch
640,
641,3.5 inch
642,
643,74.0 cm
644,
645,110.0 volt
646,10.2 inch
647,10.2 inch
648,5.07 fluid ounce/milliliter
649,
650,110.0 volt
651,
652,40.0 watt
653,1231.0 pound
654,580.0 gram
655,
656,15.0 millimeter
657,40.0 centimetre
658,80.0 centimetre
659,
660,11.0 centimetre
661,13.0 centimetre
662,
663,26.0 centimeter
664,26.0 centimeter
665,53.0 cm
666,
667,26.7 centimetre
668,26.7 centimetre
669,300.0 pound
670,236.0 millilitre
671,
672,7.3 oz
673,8.0 inch
674,
675,
676,17.0 inch
677,
678,
679,47.24 inch
680,15.1 centimeter
681,15.1 centimetre
682,
683,1.25 inch
684,200.0 gram
685,
686,5.0 volt
687,
688,27.9 cm
689,
690,
691,5.0 centimetre
692,2.0 kilogram
693,
694,130.0 cm
695,
696,
697,
698,150.0 g
699,
700,100.0 gram
701,657739
702,3.0 centimetre
703,9.0 centimetre
704,9.0 centimetre
705,7.87 inch
706,7.87 inch
707,180.0 centimetre
708,16.51 inch
709,16.51 inch
710,80.0 centimetre
711,
712,30.0 kilogram
713,20.0 centimetre
714,15.0 centimetre
715,15.0 cm
716,83.0 centimetre
717,23.0 inch
718,23.0 inch
719,3.4 gram
720,11.8 inch
721,11.8 inch
722,23.0 pounds
723,
724,512GBSSD
725,0.1 kilogram
726,
727,
728,
729,25.2 volt
730,
731,46.0 meter
732,95.25 cm
733,150.0 centimetre
734,150.0 centimetre
735,15.5 centimetre
736,15.5 centimetre
737,
738,5.0 millimeter
739,
740,COLLOIDAL
741,3.5 inch
742,3.50 inch
743,numerical_value unit
744,400.0 watt
745,
746,32.0 ounce
747,0.5 millimeter
748,0.5 millimetre
749,14.0 inch
750,14.0 inch
751,2751 pounds
752,3.5 inch
753,5.9 inch
754,5.9 inch
755,0.7 inch
756,0.7 inch
757,10.0 inch
758,10.0 inch
759,10.0 inch
760,175.0 ounce
761,
762,
764,50.0 centimetre
765,4.0 ounce
766,30 cm 189
767,
768,2.75 inch
769,38.0 inch
770,38.0 inch
771,38.0 inch
772,1000.0 watt
773,110.0 volt
774,
775,51.0 watt
776,4.353 cubic feet per minute
777,Not available
778,4.0 centimetre
779,
780,
781,0.219 pound
782,81.0 millimeter
783,6.37inch
784,ODYSSEY AIR 500
785,19.0 inch
786,
787,19.0 inch
788,
789,
790,3.8 inch
791,3.80 inch
792,5.4 centimetre
793,5.5 centimetre
794,9.0 inch
795,9.0 inch
796,
797,
798,12.0 centimetre
799,12.0 centimetre
800,
801,
802,65.0 inch
803,30.0 inch
804,26.0 inch
805,26.0 inch
806,26.0 inch
807,12.0 inch
808,13.0 centimetre
809,Not Available
810,Not Applicable unit
811,
812,75.0 gram
813,
814,18.0 centimetre
815,
816,49.0 watt
817,Airflow Airflow Efficiency
818,
819,0.25 ounce
820,60.0 centimetre
821,
822,5.0 centimetre
823,12.0 volt
824,1.6 watt
825,
826,
827,
828,
829,400 pound
830,8.8 ounce
831,
832,7.5 centimetre
833,23.62 In 1.57In
834,1.0 milligram
835,2.0 inch
836,
837,25.0 millimeter
838,
839,
840,29.5 inch
841,29.5 inch
842,117.0 gram
843,36.0 oz
844,16.0 ounce
845,
846,
847,35.4 inch
848,450.0 kilogram
849,826.0 milliliter
850,
851,
852,60.0 gram
853,4.625 inch
854,12.0 centimetre
855,12.0 watt
856,40.0 centimetre
857,76.0
858,24.2 pound
859,
860,
861,centimetre
862,300.0 pound
863,7.0 centimetre
864,7.0 centimetre
865,7.0 centimetre
866,12.5 centimetre
867,Masque absorbant CABINE
868,4.50 centimetre
869,39.0 inch
870,10.8 centimetre
871,10.8 centimetre
872,
873,
874,120.0 centimetre
875,
876,40.5 centimetre
877,180.0 centimetre
878,16cm
879,60.0 centimetre
880,
881,7.1 centimetre
882,
883,1.30 cm
884,
885,16.0453 ounce
886,100.0 watt
887,LED bulb CEnghtbulls
888,5.0 gram
889,12.0 volt
890,120.0 cm
891,120.0 inch
892,120.0 centimeter
893,4.33 inch
894,4.33 inch
895,
896,300.0 centimetre
897,300.0 centimetre
898,46.0 centimetre
899,650.0 gram
900,
901,
902,6.0 centimetre
903,6.0 centimetre
904,86.02 millilitre
905,
906,167.0 centimetre
907,
908,41.0 inch
909,41.0 centimetre
910,5.0 cm
911,180.0 centimetre
912,2.0 cm
913,18.00 volt
914,18.000 watt
915,
916,12.9 inch
917,12.9 inch
918,50.0 centimetre
919,
920,31.92 inch
921,220 volt
922,25.5 centimetre
923,25.5 centimetre
924,40.0 centimetre
925,
926,120.0 centimetre
927,28.5 meter
928,28.5 centimetre
929,9.2 inch
930,9.2 cm
931,9.2 centimetre
932,183.5 centimetre
933,
934,
935,MADEINKUNGARY
936,G-FORM YOUTHSIZE
937,18.0 inch
938,18.0 cm
939,a cut above
940,
941,47.5 watt
942,
943,7.52 volt
944,7.8 inch
945,3.0 inch
946,63.4 inch
947,
948,21.7 kilogram
949,0.98 inch
950,0.98 inch
951,3.9 inch
952,3.9 inch
953,
954,70.0 cm
955,30.0 centimetre
956,30.0 centimetre
957,190.37 inch
958,107.15 mm
959,",  , "
960,760.0 millimetre
961,
962,3.50 centimetre
963,28.0 inch
964,28.0 inch
965,28.0 inch
966,2.75 inch
967,2.75 inch
968,
969,
970,1.22 1.37
971,
972,30.0 pound
973,
974,3.9 inch
975,3.90 inch
976,
977,8.0 inch
978,6.7 inch
979,
980,80.0 milliliter
981,160.0 grams
982,
983,2.7 inch
984,34.3 inch
985,30.5 centimetre
986,
987,19cm/7.5in
988,
989,18.0 centimetre
990,10.5 inch
991,
992,5.11 inch
993,5.11 inch
994,5.11 inch
995,
996,1.5 foot
997,7.05 ounce
998,SIMPLE CHICKEN
999,100.0 ounce
1000,120.0 volt
